epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
13,0.572120726108551,0.5979915857315063,0.572168231010437,9.999999747378752e-06,0.7157883644104004,0.5723984837532043,0.5718438625335693,0.5305642485618591,0.5517398118972778,0.5191015601158142,0.6964674592018127,0.5301960706710815,0.5297805666923523
14,0.5747508406639099,0.6097165942192078,0.5748862028121948,9.999999747378752e-06,0.7083438634872437,0.5749341249465942,0.5740587115287781,0.5407523512840271,0.5592233538627625,0.5366543531417847,0.6928550004959106,0.5408163070678711,0.5399686694145203
15,0.5794573426246643,0.6170757412910461,0.5794299840927124,9.999999747378752e-06,0.7019813656806946,0.5795013904571533,0.5791805386543274,0.5188087821006775,0.5454097390174866,0.5132796764373779,0.7018774151802063,0.5184603333473206,0.517241358757019
16,0.5897009968757629,0.6152786612510681,0.5898482799530029,9.999999747378752e-06,0.707400381565094,0.589775562286377,0.5892857313156128,0.5399686694145203,0.5512779355049133,0.5372946858406067,0.7002344131469727,0.5399686694145203,0.5399686694145203
17,0.5888704061508179,0.619132936000824,0.5887927412986755,9.999999974752427e-07,0.7016273736953735,0.5888627171516418,0.5884551405906677,0.5258620977401733,0.5497468113899231,0.5062617659568787,0.7020016312599182,0.5259026885032654,0.5250783562660217
18,0.5829180479049683,0.614096462726593,0.5826752781867981,9.999999974752427e-07,0.7027397751808167,0.5830217599868774,0.5827796459197998,0.5258620977401733,0.5515398979187012,0.505814790725708,0.70050448179245,0.5262745022773743,0.5258620977401733
19,0.5906699895858765,0.6210542917251587,0.5908834934234619,9.999999974752427e-07,0.6993265748023987,0.5908586978912354,0.590531587600708,0.5289968848228455,0.5516022443771362,0.5057026743888855,0.7010429501533508,0.5286274552345276,0.5282131433486938
20,0.5795958042144775,0.6120993494987488,0.5794769525527954,9.999999974752427e-07,0.7051629424095154,0.5794431567192078,0.5790420770645142,0.5282131433486938,0.553017258644104,0.5066507458686829,0.6996328830718994,0.528672456741333,0.527429461479187
21,0.5910852551460266,0.6265470385551453,0.5911091566085815,9.999999974752427e-07,0.6910738945007324,0.5911104679107666,0.5909468531608582,0.5282131433486938,0.5540103912353516,0.5037899017333984,0.6987749934196472,0.528257429599762,0.527429461479187
22,0.5888704061508179,0.6226481199264526,0.5889250040054321,1.0000000116860974e-07,0.6958574056625366,0.5888950228691101,0.5887320041656494,0.5313479900360107,0.5536477565765381,0.5043007135391235,0.6997349262237549,0.5310290455818176,0.5297805666923523
23,0.590531587600708,0.6206350922584534,0.5906014442443848,1.0000000116860974e-07,0.7006224393844604,0.5905752182006836,0.5898393988609314,0.5313479900360107,0.5537168979644775,0.5063292384147644,0.6995738744735718,0.5307086706161499,0.5282131433486938
24,0.5840254426002502,0.6156169176101685,0.5839806199073792,1.0000000116860974e-07,0.7070139050483704,0.5840144157409668,0.5836101770401001,0.5297805666923523,0.5535550713539124,0.5035986304283142,0.6996338367462158,0.5302435159683228,0.5289968848228455
25,0.5919158458709717,0.6226804852485657,0.5917233824729919,1.0000000116860974e-07,0.6974074840545654,0.5919356942176819,0.5913621187210083,0.5313479900360107,0.5534555315971375,0.5050734281539917,0.6996304988861084,0.5309804081916809,0.5305642485618591
26,0.585132896900177,0.6143500804901123,0.5851565599441528,1.0000000116860974e-07,0.7071467638015747,0.5852170586585999,0.5841639041900635,0.5297805666923523,0.5538575053215027,0.5038580894470215,0.6994405388832092,0.5306122303009033,0.5297805666923523
